,0
0,supra
1,fisio
2,hipo
3,tetra
4,endo
5,mono
6,sub
7,ferro
8,homo
9,anto
10,com
11,sud
12,aero
13,entre
14,auto
15,anti
16,entero
17,afro
18,res
19,estilo
20,tri
21,bis
22,iso
23,electro
24,agro
25,tele
26,de
27,astro
28,inter
29,macro
30,di
31,a
32,uni
33,quimio
34,franco
35,ali
36,audio
37,oro
38,tiro
39,mal
40,narco
41,ar
42,intra
43,ab
44,post
45,socio
46,epi
47,ex
48,equi
49,poli
50,dia
51,hispano
52,trans
53,moto
54,radio
55,deci
56,co
57,pseudo
58,ultra
59,tecno
60,sor
61,so
62,para
63,mili
64,pico
65,geo
66,estereo
67,con
68,foto
69,dis
70,cito
71,psico
72,ir
73,hemo
74,es
75,des
76,alo
77,mini
78,cis
79,nor
80,ciclo
81,mala
82,hidro
83,mega
84,em
85,peri
86,tras
87,filo
88,costo
89,im
90,retro
91,cerebro
92,multi
93,euro
94,circun
95,sur
96,hetero
97,pro
98,bi
99,neuro
100,son
101,extra
102,anfi
103,vice
104,semi
105,sobre
106,ante
107,pan
108,bio
109,meta
110,cloro
111,in
112,en
113,eco
114,deca
115,super
116,contra
117,neo
118,pre
119,per
120,arqui
121,re
122,ciber
123,imp
124,colo
125,hiper
126,crono
127,i
128,termo
129,ambi
130,nano
131,pos
132,recto
133,video
134,biblio
135,proto
136,micro
137,an
138,tera
139,cardio
140,buro
141,infra
142,archi
